task_id,trait,item_a,item_b,item_c,item_d,most_target_like,least_target_like
politeness-bws-027,politeness,"Regrettably, I missed the assignment deadline and truly value your understanding.",I cannot support the plan to raise the marketing budget; it doesn't align with our current results.,"We should be cautious about applying the chi‑square test to this continuous data set, as its assumptions seem to be violated.","I’m grateful for your guidance, however I’m uneasy about medication X; let’s discuss.",,
politeness-bws-028,politeness,Our team will correct the double billing and ensure the refund is issued quickly.,"We understand this double charge is inconvenient, and we’re arranging a swift refund for you.",I sincerely regret the two‑day delay in submitting the assignment; I understand the inconvenience caused and thank you for your understanding.,"Despite the deadline pressures, the inefficient loops in the recent commit pose a serious threat to performance.",,
politeness-bws-029,politeness,"I truly value your hard work; however, the essay's missing clear thesis demands a substantial overhaul.","I must apologize for missing the grading deadline, as it inconvenienced the students.","Having considered the proposal, I believe buying Stock X could conflict with our risk objectives.","I must decline the recommendation to purchase Stock X, as it clearly breaches our portfolio risk goals.",,
politeness-bws-030,politeness,I’m truly grateful for the invitation and regret that I must decline the weekend project this time.,"Thank you for your flexibility; the surgery is postponed because the surgeon is unavailable on the date, and we value your patience.","Regrettably I’m not available for the public hearing, and I hope this does not cause problems.","To clarify, the credit criteria for approval were not met by your application, resulting in a denial.",,
politeness-bws-031,politeness,"I’m grateful for your guidance, however I’m uneasy about medication X; let’s discuss.","Studies show that papers with thorough preprocessing descriptions receive higher clarity scores; thus, enhancing this part of the methodology would help readers.",We wish to notify you that the software delivery date has been shifted by two weeks due to unforeseen adjustments in our schedule.,Just a reminder that the statistic quoted in the article is inaccurate and would benefit from correction.,,
politeness-bws-032,politeness,"It would help if you could pause before replying to customers, as occasional interruptions are slightly reducing satisfaction.","The page’s layout currently provides no clear visual ordering, leading to confusion and suggesting a reorganization.","Rearrange the slide deck to give it a clearer, more logical structure.","Considering your expectations, we convey that the software delivery will be postponed by two weeks as a result of unforeseen circumstances in our schedule.",,
politeness-bws-033,politeness,Would you mind reviewing the code patch and sharing any feedback you have at your convenience later today?,Your assistance in reorganizing the slide deck would be greatly valued for clearer structure.,"Due to capacity limits, I’m unable to approve your weekend overtime request as the roster is completely booked.","I appreciate the notice, yet I must miss the public hearing and am sorry for any disruption.",,
politeness-bws-034,politeness,We deeply regret the accidental double charge and truly empathize with your inconvenience; a rapid refund is being arranged.,"In order to honor my existing responsibilities, I must refuse attendance at the Monday kickoff meeting.",Sorry I sent the wrong financial report; I’ll resend the correct version to the team right away.,"The analysis confirms malignant cells, and I’m here to guide you through the implications and options.",,
politeness-bws-035,politeness,"Unfortunately, the loan cannot be granted due to an insufficient credit score.","Unfortunately, the rate applied to your recent booking was higher than advertised, which we acknowledge was an oversight.",Thank you very much for the invitation; I’m truly sorry I must miss the Friday dinner.,"I value the effort put into the homepage, and a more pronounced visual hierarchy could significantly boost user navigation.",,
politeness-bws-036,politeness,"I notice the essay doesn't articulate a clear thesis, so it will need some restructuring.","Unfortunately, staffing levels this weekend prevent me from approving your overtime request.",Great job on the homepage layout; strengthening the visual hierarchy would enhance user flow and overall impact.,"Please accept my formal declination of the Monday project kickoff meeting, as I have a prior commitment that precludes my attendance.",,
politeness-bws-037,politeness,"I am honored by the request and thank you, but I must politely refuse to attend the public hearing.","Could we consider that the chi‑square test may not suit this continuous data set, given the apparent violation of its assumptions?",Could you possibly refill my hypertension medication by tomorrow as per my prescription? I would really appreciate it.,"It pains me to report cancer in your biopsy, and I’m committed to providing care and listening to any thoughts you share.",,
politeness-bws-038,politeness,I sincerely beg your forgiveness for the oversight and will dispatch the meeting minutes to you at once.,"Regret the inconvenience; the surgery must be delayed as the surgeon cannot attend on the date, and thank you for your patience.","It would help if you could pause before replying to customers, as occasional interruptions are slightly reducing satisfaction.","Regrettably, my schedule clashes with the hike this Saturday, and I won’t be able to join; I wish you an awesome outing.",,
politeness-bws-039,politeness,I’d be grateful if you could take a look at the code patch and let me know of issues you find.,Our team will correct the double billing and ensure the refund is issued quickly.,"I observe that, despite current implementation, this sorting algorithm isn’t the most efficient for large data; we should explore elsewhere.","From what I saw, the slides lean toward heavy text, making it a little tough to keep up.",,
politeness-bws-040,politeness,It appears that the recent commit has loops that are inefficient and could possibly impact performance.,"I sincerely regret missing the grading deadline, and I recognize the inconvenience it created for the class.",I sincerely beg your forgiveness for the oversight and will dispatch the meeting minutes to you at once.,"Thank you for your work; the pull request would benefit from unit tests, so revising it now will aid the merge into the main branch.",,
politeness-bws-041,politeness,I cannot attend the project kickoff on Monday; I’m already booked.,"I have a scheduling conflict this weekend, so I won’t be able to take part in the project.","The page’s layout currently provides no clear visual ordering, leading to confusion and suggesting a reorganization.",Just now I realized the minutes weren’t sent; I’ll forward them to you immediately.,,
politeness-bws-042,politeness,"We would like to extend our deepest apologies for the overcharged room rate, and we sincerely value your continued patronage.","Could the methodology section perhaps include a more detailed outline of the data preprocessing steps, so readers can follow the analysis more easily?",I must plainly state that I disagree with the proposal to eliminate flexible working hours for the team as currently suggested.,"Having considered the proposal, I believe buying Stock X could conflict with our risk objectives.",,
politeness-bws-043,politeness,"I would appreciate it if you could grant a two‑day extension for the term paper, as I’m currently unable to meet the set deadline.","We regret to tell you the loan you applied for doesn't align with our credit requirements, leading to a refusal.",Please accept my heartfelt apology for submitting the assignment two days late; I regret any inconvenience and am grateful for your consideration.,I offer a direct refutation: the new slogan cannot be expected to raise conversions.,,
politeness-bws-044,politeness,"Thank you for applying; our assessment shows the loan does not satisfy the credit requirements, so approval is not possible at this moment.","I would love to help, but I might not be able to free up time for the weekend project.","At this point in the fiscal year, increasing the marketing budget would be premature.","Would you mind refilling my hypertension medication by tomorrow according to the prescription, so I can pick it up? Thanks.",,
politeness-bws-045,politeness,"We value your request and suggest exploring alternative financing options, as the current loan does not meet our credit criteria.",I truly apologise for the deadline slip; I acknowledge the team’s dedication and will make catching up my top priority to reduce any disturbance.,I sincerely apologize and appreciate your patience despite the inconvenience my grading delay caused.,"I’m really sorry, I won’t be able to attend the hike on Saturday; I’ve got something else scheduled.",,
politeness-bws-046,politeness,My analysis points to a contrasting skepticism—the slogan’s impact on conversions seems doubtful.,"I suggest we consider revising the quoted statistic in the article, as it appears to be inaccurate.","Given that the milestone was missed, I deeply regret it, appreciate the team’s contributions, and will fast‑track remediation to limit impact.","I profoundly regret missing the grading deadline, fully aware of the significant inconvenience to the class, and thank you for your understanding.",,
politeness-bws-047,politeness,"We understand this double charge is inconvenient, and we’re arranging a swift refund for you.",Unfortunately I cannot attend the public hearing as requested; I apologize for any inconvenience.,I’m truly sorry for the lapse; I deeply regret the missing minutes and will forward them instantly.,Just a reminder that the statistic quoted in the article is inaccurate and would benefit from correction.,,
politeness-bws-048,politeness,Our current slogan falls flat; change it promptly to improve the campaign outcome.,"While this application cannot be approved due to credit criteria, you may consider strengthening your credit profile for future requests.",We acknowledge the invoice was charged twice and will return the amount without delay.,Please accept our formal apology for the duplicate invoice charge; the refund will be executed promptly.,,
politeness-bws-049,politeness,"I appreciate the invitation, yet I must decline because my weekend is already booked.",Please ensure the latest Q2 market analysis report reaches me by Friday for preparation before the meeting.,"While I understand the rationale, acquiring Stock X may not satisfy the portfolio’s risk constraints.","I offer my sincere apologies for the erroneous overcharge on your room rate, and I am grateful for your patience.",,
politeness-bws-050,politeness,"According to our current policy, your loan request does not satisfy the required credit standards, so it has been declined.","My view differs—there’s no reason to expect a rise next quarter, given the current data.","I’m a bit skeptical about the claim that the new ad slogan will boost conversions, so I’m not convinced yet.","Although I submitted the assignment two days after the deadline, I am sorry and take full responsibility for any inconvenience incurred.",,
politeness-bws-051,politeness,"Thanks for the invite! I’m sorry I have to skip the hike this weekend, maybe next time.",We regret the overcharge and will compensate by issuing a prompt refund to your account.,"Unfortunately, I have another obligation on Monday, so I will be unable to participate in the project kickoff.",Thank you for your patience; I’m sorry for the missed deadline and will work hard to realign the project schedule.,,
politeness-bws-052,politeness,"I regret that I have to pass on the weekend strategy workshop, and I thank you for including me.",I apologize and thank you for understanding the inconvenience my delayed grading caused the students.,I would prefer to explore other treatments before committing to medication X.,"Compared to other options, I’m not sure medication X fits my situation.",,
politeness-bws-053,politeness,I’m sorry for missing the grading deadline; I realize it caused inconvenience to the students.,"According to our billing policy, we recognize the duplicate charge and will process a refund promptly.",We are profoundly sorry for unintentionally charging you twice and will ensure the refund is completed at once.,I sincerely regret the two‑day delay in submitting the assignment; I understand the inconvenience caused and thank you for your understanding.,,
politeness-bws-054,politeness,"We are grateful for your application and, while we cannot grant the loan now due to the credit score requirement, we hope to serve you in the future.",Great job on the homepage layout; strengthening the visual hierarchy would enhance user flow and overall impact.,I have a scheduling conflict on Monday and cannot join the kickoff meeting.,"At this point in the fiscal year, increasing the marketing budget would be premature.",,
politeness-bws-055,politeness,"Due to capacity limits, I’m unable to approve your weekend overtime request as the roster is completely booked.","I’m sorry, but I’m unable to provide a discount on this order under our current policy and pricing.","The timing doesn’t work for me, I’ll miss the coffee‑break meeting.","While I appreciate your interest, the current pricing rules prevent me from granting a discount right now.",,
politeness-bws-056,politeness,Deliver the most recent Q2 market analysis report by Friday for our upcoming meeting.,Please accept my apology for the two‑day delay in submitting the assignment; I acknowledge my fault and understand it may cause inconvenience.,Hypertension meds need refilling by tomorrow; please ensure they're available for pickup.,"Your kind invitation means a lot; unfortunately I have to miss the Friday dinner, my apologies.",,
politeness-bws-057,politeness,Thank you for your patience; I’m sorry for the missed deadline and will work hard to realign the project schedule.,"May I request that the article's quoted statistic be corrected, given that it is presently inaccurate?",My apologies for turning in the assignment two days late; I regret any inconvenience this may have caused you.,"I’m sorry, but I’m unable to join the public hearing as asked, and I regret any trouble this may cause.",,
politeness-bws-058,politeness,"Having missed the grading deadline, I offer a heartfelt apology and value your tolerance of the students’ inconvenience.",A quick reminder: try to let customers finish their thoughts to keep satisfaction from slipping further.,"While we cannot approve this loan due to your current credit score, you may reapply once it improves.","Apologies, I must decline the weekend strategy workshop, though I truly appreciate your consideration.",,
politeness-bws-059,politeness,"I’m grateful for being considered, but I must decline participation in the public hearing at this time.","I value the effort put into the homepage, and a more pronounced visual hierarchy could significantly boost user navigation.","Having missed the assignment deadline, I am profoundly sorry and grateful for your patience.","While I understand the rationale, acquiring Stock X may not satisfy the portfolio’s risk constraints.",,
politeness-bws-060,politeness,"The data clearly show that the chi‑square test is unsuitable for this continuous data set, since its assumptions are violated and a different method is required.",The review of your final‑grade adjustment request concluded with a decision to keep the grade as is.,The new commit includes some inefficient loops that may impact overall performance.,"By tomorrow, I require the hypertension medication refill, as indicated on my prescription, ready for pickup.",,
politeness-bws-061,politeness,"Unfortunately, the biopsy results point to cancer—please let me know if you’d like clarification or have concerns at this moment.",I’m skeptical about the predicted uptick; the numbers suggest the market will stay flat or fall.,"Thank you for inviting me; I truly value it, but I’m unable to attend the coffee‑break meeting.","Please accept my apologies, I am unable to attend the weekend strategy workshop, and I am grateful for the invite.",,
politeness-bws-062,politeness,The lack of a defined thesis points to a need for reshaping the essay.,"I appreciate the creativity, though the slogan falls short and need a tweak.","Given our resource allocation priorities, a vegan‑only menu for the conference cannot be provided.",Introducing a clearer visual hierarchy to the homepage would improve readability and reduce the current sense of confusion.,,
politeness-bws-063,politeness,I would be thankful if you reorganized the slide deck to achieve clearer structure.,"I’m grateful for your idea, but unfortunately I can’t incorporate the feature since it isn’t part of our roadmap.","In the recent commit, there are loops that operate inefficiently and could lower performance across the board.","There’s a modest amount of text on the slides, which adds a minor hurdle to audience comprehension.",,
politeness-bws-064,politeness,"I appreciate your advice, yet I’m uneasy about medication X; can we talk?","Wow, the slides are packed with text, making them especially hard to follow!",The slogan fails; we must replace it for the campaign without delay now.,"While acknowledging the time constraints, the inefficient loops in the latest commit could substantially jeopardize performance.",,
politeness-bws-065,politeness,"While this application cannot be approved due to credit criteria, you may consider strengthening your credit profile for future requests.","After careful review, we find that your loan request falls short of the credit standards, so we cannot approve it.",I'm sorry I can't make it to the weekend strategy workshop; thank you for thinking of me.,"I appreciate your effort, but I oppose the view that the market will rise; the projected figures and assumptions raise serious concerns for me.",,
politeness-bws-066,politeness,"We must apologize for mistakenly billing you at a higher room rate than advertised, and we will promptly adjust it.",I’m committed to correcting this and will have the meeting minutes in your inbox shortly.,"I’m concerned that this sorting algorithm may not deliver optimal efficiency for extensive datasets, and I think we should consider alternatives.","Unfortunately, the biopsy results point to cancer—please let me know if you’d like clarification or have concerns at this moment.",,
politeness-bws-067,politeness,"While we cannot approve this loan due to your current credit score, you may reapply once it improves.","I would love to help, but I might not be able to free up time for the weekend project.",I’m afraid I can’t go on the hike Saturday; I have prior commitments.,"There’s considerable uncertainty about whether this sorting algorithm truly offers the best efficiency for big data, so exploring alternatives seems wise.",,
politeness-bws-068,politeness,"There’s a modest amount of text on the slides, which adds a minor hurdle to audience comprehension.",I have a prior engagement on Monday and therefore cannot be at the kickoff.,I would prefer to explore other treatments before committing to medication X.,Could you possibly refill my hypertension medication by tomorrow as per my prescription? I would really appreciate it.,,
politeness-bws-069,politeness,I won't be able to attend the weekend strategy workshop; I appreciate your kind invitation.,"I kindly urge a prompt correction of the article’s quoted statistic, as its inaccuracy could mislead readers.","I appreciate the invitation, yet I must decline because my weekend is already booked.","I believe the slogan could be stronger, so perhaps we should revise it.",,
politeness-bws-070,politeness,"We understand this double charge is inconvenient, and we’re arranging a swift refund for you.",I sincerely apologise for missing the milestone deadline; I value everyone’s effort and will prioritize catching up to minimise disruption.,"Given your work on this sorting algorithm, could we probe if it maximizes efficiency for large datasets, or try alternatives?","Our records show we inadvertently charged you a higher room rate than the advertised price, and we sincerely regret the error.",,
politeness-bws-071,politeness,"I’m inclined to investigate whether this sorting algorithm truly offers peak efficiency for large datasets, and suggest we examine alternatives.",I remain reserved on the idea that the new ad slogan will increase conversions; I’m not ready to accept it.,"I respectfully appeal for the correction of the quoted statistic in the article, as it currently contains an inaccuracy.","I truly apologize for missing the grading deadline, acknowledging the disruption to the students.",,
politeness-bws-072,politeness,"While this application cannot be approved due to credit criteria, you may consider strengthening your credit profile for future requests.","Given our resource allocation priorities, a vegan‑only menu for the conference cannot be provided.",Thank you so much for including me; I’m disappointed I can’t participate in the weekend project.,"Rearrange the slide deck to give it a clearer, more logical structure.",,
politeness-bws-073,politeness,"Regarding the missed milestone, I apologise and acknowledge that the delay is entirely my fault.","I value your contribution; noting that the pull request lacks unit tests, a brief revision would be beneficial before merging into the main branch.","Your draft misses a clear thesis, demanding a complete rework.","Your request to modify the final grade has been examined and, according to policy, will not be approved.",,
politeness-bws-074,politeness,Sorry I sent the wrong financial report; I’ll resend the correct version to the team right away.,"We are grateful for your application and, while we cannot grant the loan now due to the credit score requirement, we hope to serve you in the future.","My current workload leaves me without the capacity to join the weekend project, so I must pass.","Unfortunately, the loan cannot be granted due to an insufficient credit score.",,
politeness-bws-075,politeness,"I would deeply appreciate a two‑day extension for the term paper, as it would substantially relieve the pressure I’m currently under.","Having considered the proposal, I believe buying Stock X could conflict with our risk objectives.",We regret the overcharge and will compensate by issuing a prompt refund to your account.,May I ask you to reorganize the slide deck? A clearer structure would help.,,
politeness-bws-076,politeness,The latest commit contains loops that are inefficient and might reduce overall performance.,"I’m really sorry, I won’t be able to attend the hike on Saturday; I’ve got something else scheduled.",The homepage design shows strong potential; refining the visual hierarchy would help steer visitors more effectively.,"Just as a recipe benefits from a step‑by‑step guide, the methodology would be clearer if the data preprocessing steps were described in more detail.",,
politeness-bws-077,politeness,"Having missed the assignment deadline, I am profoundly sorry and grateful for your patience.","I wish I could, but I’m tied up this weekend, so I’ll miss the hike.",I respectfully request a two‑day extension for the term paper; such an adjustment would accommodate my present schedule constraints.,We apologize that a higher room rate than advertised was applied to your recent reservation by error.,,
politeness-bws-078,politeness,"It might be useful to add a clearer account of the data preprocessing steps in the methodology, which could help future readers understand the analysis.",Your tendency to interrupt callers is lowering our satisfaction metrics; it must be corrected immediately.,"Could it be that this sorting algorithm falls short of optimal efficiency when handling extensive datasets, given what we see?",I question the outlook that the market will climb; the recent metrics actually argue against a rise in the coming quarter.,,
politeness-bws-079,politeness,Send the latest Q2 market analysis report by Friday for the meeting.,Could you possibly refill my hypertension medication by tomorrow as per my prescription? I would really appreciate it.,"I sincerely value the opportunity, yet I must decline the weekend strategy workshop despite my keen interest.","With awareness of how this may inconvenience you, we share that the software delivery will be delayed by two weeks due to unexpected changes in our project schedule.",,
politeness-bws-080,politeness,"At this moment, the timing of the weekend schedule conflicts with our staffing plan, so I can’t approve overtime.",Please stop cutting off customers; those interruptions are hurting our satisfaction numbers.,My apologies for turning in the assignment two days late; I regret any inconvenience this may have caused you.,I won’t be able to join the kickoff meeting on Monday because I have another commitment that day.,,
politeness-bws-081,politeness,"Due to capacity limits, I’m unable to approve your weekend overtime request as the roster is completely booked.","Your loan application fails to meet the credit criteria, resulting in a denial at this time.","I would love to help, but I might not be able to free up time for the weekend project.",I’m truly grateful for the invitation and regret that I must decline the weekend project this time.,,
politeness-bws-082,politeness,Your assistance in reorganizing the slide deck would be greatly valued for clearer structure.,I would like to express regret for missing the deadline and acknowledge the resulting inconvenience.,"I see the idea, but I’m not convinced that medication X is appropriate.",We truly value your effort to send the latest Q2 market analysis report by Friday for the upcoming meeting.,,
politeness-bws-083,politeness,"I am truly honored by the invitation, but I am compelled to decline the weekend strategy workshop.","I see things differently: the market is unlikely to go up next quarter, and the evidence points elsewhere.","We value your business, but unfortunately I cannot provide a discount on this order under existing terms.","I appreciate the creativity, though the slogan falls short and need a tweak.",,
politeness-bws-084,politeness,"Given that the recent commit includes inefficient loops, we might see some performance degradation.",I must convey that the findings of your biopsy are malignant.,"Due to the surgeon’s schedule conflict, we need to shift your surgery to a later time, moving it from the originally intended date.","The visual layout feels dense with words, so following along becomes slightly challenging for viewers.",,
politeness-bws-085,politeness,"I truly value your hard work; however, the essay's missing clear thesis demands a substantial overhaul.","Our operations are locked in for the weekend, meaning I cannot approve any extra overtime at this time.",My apologies for turning in the assignment two days late; I regret any inconvenience this may have caused you.,"May I request that the article's quoted statistic be corrected, given that it is presently inaccurate?",,
politeness-bws-086,politeness,"It is essential that I receive a two‑day extension for the term paper; without it, I risk compromising the quality of my work.","I believe the slogan could be stronger, so perhaps we should revise it.",Could we address the missing unit tests in the pull request before proceeding with the merge into the main branch?,"I sincerely regret missing the grading deadline, and I recognize the inconvenience it created for the class.",,
politeness-bws-087,politeness,"I respect your analysis, yet I must assert that the market will not ascend next quarter, as the underlying assumptions appear flawed.","I’m sorry, I won’t be able to attend Friday’s dinner.",I’m sorry for handing in the assignment two days late; I accept the responsibility and realize this might inconvenience you.,"It appears we charged you a higher room rate than the advertised amount during your stay, and we regret the mistake.",,
politeness-bws-088,politeness,"The timing doesn’t work for me, I’ll miss the coffee‑break meeting.",I’m skeptical about the predicted uptick; the numbers suggest the market will stay flat or fall.,We truly value your effort to send the latest Q2 market analysis report by Friday for the upcoming meeting.,"In order to honor my existing responsibilities, I must refuse attendance at the Monday kickoff meeting.",,
politeness-bws-089,politeness,"There’s considerable uncertainty about whether this sorting algorithm truly offers the best efficiency for big data, so exploring alternatives seems wise.","Your invitation is appreciated, though I’m unable to attend the public hearing as scheduled.","Having missed the milestone deadline, I understand the schedule impact and commit to restoring progress promptly.","I find the current slide deck overly text‑heavy, which makes my own reading of it a bit cumbersome.",,
